M,K,bytes,file
2048,2048,80286936,./dataset/2048_2048_80.tns
1024,1024,20968860,./dataset/1024_1024_90.tns
4096,4096,197178368,./dataset/4096_4096_20.tns
1024,1024,12328280,./dataset/1024_1024_20.tns
1024,1024,16764000,./dataset/1024_1024_50.tns
1024,1024,13960540,./dataset/1024_1024_30.tns
512,512,3082652,./dataset/512_512_20.tns
2048,2048,67093296,./dataset/2048_2048_50.tns
4096,4096,268353088,./dataset/4096_4096_50.tns
512,512,4498752,./dataset/512_512_60.tns
1024,1024,17988720,./dataset/1024_1024_60.tns
4096,4096,321092368,./dataset/4096_4096_80.tns
512,512,5020972,./dataset/512_512_80.tns
512,512,2630712,./dataset/512_512_10.tns
4096,4096,287713868,./dataset/4096_4096_60.tns
2048,2048,76305016,./dataset/2048_2048_70.tns
4096,4096,246960328,./dataset/4096_4096_40.tns
512,512,4774472,./dataset/512_512_70.tns
4096,4096,223314408,./dataset/4096_4096_30.tns
1024,1024,20064880,./dataset/1024_1024_80.tns
4096,4096,168261308,./dataset/4096_4096_10.tns
4096,4096,335487468,./dataset/4096_4096_90.tns
512,512,4195532,./dataset/512_512_50.tns
1024,1024,10519640,./dataset/1024_1024_10.tns
4096,4096,305246508,./dataset/4096_4096_70.tns
1024,1024,19080680,./dataset/1024_1024_70.tns
1024,1024,15434400,./dataset/1024_1024_40.tns
512,512,5249552,./dataset/512_512_90.tns
2048,2048,71932116,./dataset/2048_2048_60.tns
2048,2048,42066036,./dataset/2048_2048_10.tns
2048,2048,49287656,./dataset/2048_2048_20.tns
2048,2048,83865036,./dataset/2048_2048_90.tns
2048,2048,61759076,./dataset/2048_2048_40.tns
512,512,3860832,./dataset/512_512_40.tns
2048,2048,55824296,./dataset/2048_2048_30.tns
512,512,3493332,./dataset/512_512_30.tns
