M,K,time,A,B
2048,2048,82.3941,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,82.3285,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,82.7828,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,82.7645,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,80.6879,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,81.3406,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,82.0551,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,83.4109,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,81.1377,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,80.4503,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
1024,1024,24.2597,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,20.0623,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,20.3533,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,21.0274,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,22.3432,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,22.2879,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,22.367,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,21.9687,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,21.7104,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,19.5762,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
4096,4096,258.934,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,271.079,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,272.667,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,267.1,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,270.826,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,263.382,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,267.092,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,273.416,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,264.697,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,272.757,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
1024,1024,13.3067,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,10.3873,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,11.0616,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,10.2728,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,10.0577,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,11.1867,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,9.45252,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,11.016,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,10.8896,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,10.9848,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,13.0539,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,13.5465,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,14.0592,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,14.6417,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,13.6839,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,17.0283,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,12.6407,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,13.9397,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,13.3243,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,13.636,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,14.1134,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,15.4791,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,14.15,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,13.1835,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,14.2363,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,12.6416,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,13.1034,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,13.9259,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,13.611,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,13.5653,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
512,512,3.94239,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,4.09279,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,3.59553,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,4.06806,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,3.68591,./dataset/512_512_20.tns,./dataset/512_512_20.tns
