M,K,time,A,B
2048,2048,182.677,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,180.995,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,183.473,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,191.812,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,188.206,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,186.86,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,185.23,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,183.97,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,201.674,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,195.669,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
1024,1024,25.0771,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,25.1035,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,26.0197,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,27.9922,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,26.9681,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,26.682,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,26.2039,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,25.3127,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,27.0344,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,25.776,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
4096,4096,573.909,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,574.51,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,581.235,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,581.698,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,573.933,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,576.719,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,586.902,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,584.227,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,576.513,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,574.976,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
1024,1024,8.58956,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,8.75696,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,8.78734,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,11.5052,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,10.3646,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,11.5294,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,8.96389,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,11.307,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,8.71415,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,15.3331,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,17.7585,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,15.0004,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,17.2521,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,16.1918,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,17.939,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,15.009,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,17.5225,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,17.9751,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,17.7706,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,15.6544,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,10.5641,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,13.6538,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,12.8397,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,10.5402,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,13.0191,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,10.7159,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,13.1538,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,10.5433,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
