M,K,time,A,B
2048,2048,6625.850490,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,6599.561356,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,6600.568838,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,6606.392094,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,6623.277733,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,6603.313265,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,6596.958886,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,6590.595222,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,6641.197483,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,6601.543717,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
1024,1024,959.468766,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,959.451649,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,960.615829,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,961.850427,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,961.195726,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,959.352276,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,959.074797,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,959.794560,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,959.575161,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,960.550148,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
4096,4096,11026.594373,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,10984.563830,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,10999.246319,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,10968.228369,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,11025.398728,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,11090.183919,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,11035.349652,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,11005.342253,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,11064.176752,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,10998.039976,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
1024,1024,192.054292,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,192.080361,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,190.777478,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,196.770383,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,192.219797,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,192.180276,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,191.220993,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,190.821214,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,191.083239,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,192.520352,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,486.779635,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,486.388710,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,495.975782,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,487.654397,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,485.155293,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,485.051553,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,488.505803,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,486.946413,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,486.191845,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,489.974283,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,281.739587,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,279.827521,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,280.114705,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,280.945970,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,279.427462,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,294.584005,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,284.810414,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,280.813715,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,280.890104,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,279.719313,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
512,512,31.440818,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,31.873537,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,32.525986,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,32.972466,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,32.278583,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,31.502523,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,31.484115,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,32.133159,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,32.247605,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,31.819714,./dataset/512_512_20.tns,./dataset/512_512_20.tns
2048,2048,3676.549468,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,3678.036614,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,3672.906109,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,3675.404249,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,3673.352275,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,3676.045826,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,3679.204757,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,3681.923578,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,3677.232022,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,3671.438012,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
4096,4096,47774.553559,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,47795.687544,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,47579.358211,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,47728.984076,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,47840.029369,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,47625.596481,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,47339.321120,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,47304.174428,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,47860.917970,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,47806.974911,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
512,512,82.388290,./dataset/512_512_60.tns,./dataset/512_512_60.tns
512,512,81.719255,./dataset/512_512_60.tns,./dataset/512_512_60.tns
512,512,82.014802,./dataset/512_512_60.tns,./dataset/512_512_60.tns
512,512,81.978246,./dataset/512_512_60.tns,./dataset/512_512_60.tns
512,512,81.634935,./dataset/512_512_60.tns,./dataset/512_512_60.tns
512,512,82.044949,./dataset/512_512_60.tns,./dataset/512_512_60.tns
512,512,87.874502,./dataset/512_512_60.tns,./dataset/512_512_60.tns
512,512,83.230721,./dataset/512_512_60.tns,./dataset/512_512_60.tns
512,512,85.830221,./dataset/512_512_60.tns,./dataset/512_512_60.tns
512,512,82.641051,./dataset/512_512_60.tns,./dataset/512_512_60.tns
1024,1024,602.525736,./dataset/1024_1024_60.tns,./dataset/1024_1024_60.tns
1024,1024,603.084339,./dataset/1024_1024_60.tns,./dataset/1024_1024_60.tns
1024,1024,608.650385,./dataset/1024_1024_60.tns,./dataset/1024_1024_60.tns
1024,1024,603.431997,./dataset/1024_1024_60.tns,./dataset/1024_1024_60.tns
1024,1024,603.862562,./dataset/1024_1024_60.tns,./dataset/1024_1024_60.tns
1024,1024,602.139939,./dataset/1024_1024_60.tns,./dataset/1024_1024_60.tns
1024,1024,605.200000,./dataset/1024_1024_60.tns,./dataset/1024_1024_60.tns
1024,1024,603.750790,./dataset/1024_1024_60.tns,./dataset/1024_1024_60.tns
1024,1024,603.827839,./dataset/1024_1024_60.tns,./dataset/1024_1024_60.tns
1024,1024,602.827401,./dataset/1024_1024_60.tns,./dataset/1024_1024_60.tns
4096,4096,79975.654346,./dataset/4096_4096_80.tns,./dataset/4096_4096_80.tns
4096,4096,79081.643614,./dataset/4096_4096_80.tns,./dataset/4096_4096_80.tns
4096,4096,79285.618399,./dataset/4096_4096_80.tns,./dataset/4096_4096_80.tns
4096,4096,79078.140636,./dataset/4096_4096_80.tns,./dataset/4096_4096_80.tns
4096,4096,78866.792634,./dataset/4096_4096_80.tns,./dataset/4096_4096_80.tns
4096,4096,79319.111750,./dataset/4096_4096_80.tns,./dataset/4096_4096_80.tns
4096,4096,78715.123693,./dataset/4096_4096_80.tns,./dataset/4096_4096_80.tns
4096,4096,79502.247022,./dataset/4096_4096_80.tns,./dataset/4096_4096_80.tns
4096,4096,78645.271361,./dataset/4096_4096_80.tns,./dataset/4096_4096_80.tns
4096,4096,79307.612526,./dataset/4096_4096_80.tns,./dataset/4096_4096_80.tns
512,512,111.510149,./dataset/512_512_80.tns,./dataset/512_512_80.tns
512,512,111.710409,./dataset/512_512_80.tns,./dataset/512_512_80.tns
512,512,111.541917,./dataset/512_512_80.tns,./dataset/512_512_80.tns
512,512,111.616944,./dataset/512_512_80.tns,./dataset/512_512_80.tns
512,512,113.360489,./dataset/512_512_80.tns,./dataset/512_512_80.tns
512,512,111.825106,./dataset/512_512_80.tns,./dataset/512_512_80.tns
512,512,111.852818,./dataset/512_512_80.tns,./dataset/512_512_80.tns
512,512,111.691849,./dataset/512_512_80.tns,./dataset/512_512_80.tns
512,512,111.507074,./dataset/512_512_80.tns,./dataset/512_512_80.tns
512,512,116.293573,./dataset/512_512_80.tns,./dataset/512_512_80.tns
512,512,19.586169,./dataset/512_512_10.tns,./dataset/512_512_10.tns
512,512,19.425651,./dataset/512_512_10.tns,./dataset/512_512_10.tns
512,512,20.763980,./dataset/512_512_10.tns,./dataset/512_512_10.tns
