M,K,time,A,B
2048,2048,3.999504109,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,3.905335879,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,3.954664124,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,3.985714186,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,3.938244369,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,3.932226709,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,3.919224377,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,3.990692056,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,3.933164136,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,3.94856804,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
1024,1024,1.524241681,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,1.509378623,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,1.512502529,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,1.508639113,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,1.508810825,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,1.512380678,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,1.507972068,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,1.51446165,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,1.511264335,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,1.508767069,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
4096,4096,5.081683784,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,5.115081699,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,5.129477823,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,5.091989556,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,5.087198143,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,5.079196838,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,5.076890284,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,5.063451416,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,5.121174684,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,5.081880688,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
1024,1024,1.395565472,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,1.391544165,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,1.393537581,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,1.401152716,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,1.39396323,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,1.391624558,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,1.392914772,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,1.394897633,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,1.390907828,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,1.39193868,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,1.375017443,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,1.376650201,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
