M,K,time,A,B
2048,2048,114.808,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,121.45,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,135.764,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,111.459,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,113.332,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,112.561,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,157.139,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,111.808,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,115.975,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,113.76,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
1024,1024,16.4137,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,16.7501,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,16.9762,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,25.9933,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,16.6824,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,16.7678,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,16.7963,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,16.5885,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,16.8419,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,26.0937,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
4096,4096,164.638,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,184.873,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,136.033,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,136.453,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,134.075,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,139.541,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,137.956,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,189.586,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,136.203,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,135.344,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
1024,1024,3.29646,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,2.75869,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,2.79441,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,2.78766,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,2.70725,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,2.74025,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,2.75044,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,2.76508,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,2.76213,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,2.78168,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,8.0771,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,8.23043,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,12.0987,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,8.14038,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,8.19664,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,8.32434,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,11.9285,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,8.20347,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,8.28567,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,8.10602,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,4.43501,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,5.82681,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,5.802,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,4.45114,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,4.44496,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,4.46905,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,4.53392,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,6.2418,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,5.78859,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,6.19105,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
512,512,0.585786,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,0.633751,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,0.584003,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,0.661273,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,0.564474,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,0.626579,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,0.63382,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,0.638858,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,0.645138,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,0.593779,./dataset/512_512_20.tns,./dataset/512_512_20.tns
2048,2048,91.2385,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,56.7324,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,90.728,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,57.2427,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,57.8661,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,97.9351,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,92.9739,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,56.736,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,58.1436,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,66.1715,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
4096,4096,792.056,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,797.462,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,796.73,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,796.581,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,796.359,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,796.925,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,794.62,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,796.976,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,801.201,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,797.339,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
512,512,2.4225,./dataset/512_512_60.tns,./dataset/512_512_60.tns
512,512,2.17458,./dataset/512_512_60.tns,./dataset/512_512_60.tns
512,512,1.73109,./dataset/512_512_60.tns,./dataset/512_512_60.tns
512,512,1.73053,./dataset/512_512_60.tns,./dataset/512_512_60.tns
512,512,1.7534,./dataset/512_512_60.tns,./dataset/512_512_60.tns
512,512,3.05334,./dataset/512_512_60.tns,./dataset/512_512_60.tns
512,512,2.2372,./dataset/512_512_60.tns,./dataset/512_512_60.tns
512,512,1.74246,./dataset/512_512_60.tns,./dataset/512_512_60.tns
