M,K,time,A,B
2048,2048,83.133837,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,85.665843,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,84.282353,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,79.814731,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,78.256121,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,83.265500,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,83.113235,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,81.657342,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,92.744904,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,81.452296,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
1024,1024,17.023666,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,10.239541,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,10.677488,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,10.476096,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,10.580188,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,10.667332,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,16.946116,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,14.332743,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,14.003674,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,15.779140,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
4096,4096,104.186705,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,101.983386,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,103.139234,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,103.164894,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,105.040115,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,101.772931,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,102.788431,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,106.339505,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,102.981070,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,103.900251,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
1024,1024,2.147352,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,2.152170,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,2.141153,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,2.139620,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,2.110104,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,2.147412,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,2.107190,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,6.902798,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,2.120901,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,2.194154,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,5.455730,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,5.465134,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,10.942458,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,5.429520,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
