M,K,bytes,file
2048,2048,105796268,./dataset/2048_2048_80.tns
1024,1024,27529316,./dataset/1024_1024_90.tns
4096,4096,274392284,./dataset/4096_4096_20.tns
1024,1024,17160620,./dataset/1024_1024_20.tns
1024,1024,22483484,./dataset/1024_1024_50.tns
1024,1024,19119332,./dataset/1024_1024_30.tns
512,512,4292708,./dataset/512_512_20.tns
2048,2048,89963900,./dataset/2048_2048_50.tns
4096,4096,359801948,./dataset/4096_4096_50.tns
512,512,5992028,./dataset/512_512_60.tns
1024,1024,23953148,./dataset/1024_1024_60.tns
4096,4096,423089084,./dataset/4096_4096_80.tns
512,512,6618692,./dataset/512_512_80.tns
512,512,3720416,./dataset/512_512_10.tns
4096,4096,383034884,./dataset/4096_4096_60.tns
2048,2048,101017964,./dataset/2048_2048_70.tns
4096,4096,334130636,./dataset/4096_4096_40.tns
512,512,6322892,./dataset/512_512_70.tns
4096,4096,305755532,./dataset/4096_4096_30.tns
1024,1024,26444540,./dataset/1024_1024_80.tns
4096,4096,239691812,./dataset/4096_4096_10.tns
4096,4096,440363204,./dataset/4096_4096_90.tns
512,512,5628164,./dataset/512_512_50.tns
1024,1024,14989292,./dataset/1024_1024_10.tns
4096,4096,404074052,./dataset/4096_4096_70.tns
1024,1024,25263500,./dataset/1024_1024_70.tns
1024,1024,20887964,./dataset/1024_1024_40.tns
512,512,6892988,./dataset/512_512_90.tns
2048,2048,95770484,./dataset/2048_2048_60.tns
2048,2048,59931188,./dataset/2048_2048_10.tns
2048,2048,68597132,./dataset/2048_2048_20.tns
2048,2048,110089988,./dataset/2048_2048_90.tns
2048,2048,83562836,./dataset/2048_2048_40.tns
512,512,5226524,./dataset/512_512_40.tns
2048,2048,76441100,./dataset/2048_2048_30.tns
512,512,4785524,./dataset/512_512_30.tns
