M,K,time,A,B
2048,2048,158.880207,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,159.231031,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,157.434400,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,156.934663,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,155.998448,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,159.736241,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,160.330422,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,159.121955,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,159.663705,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,157.979528,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
1024,1024,24.692901,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,35.572113,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,24.710368,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,33.900838,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,24.915267,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,24.574928,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,25.027170,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,33.751667,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,24.868283,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,25.018236,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
4096,4096,184.071869,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,180.716845,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,176.206379,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,185.315078,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,179.180441,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,178.197181,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,182.992984,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,179.848518,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,181.638625,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,179.788440,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
1024,1024,7.539495,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,7.499984,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,7.353747,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,7.414502,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,7.562271,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,7.164904,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,7.318102,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,7.516880,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,7.227912,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,7.519284,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,16.955484,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,14.047178,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,14.094011,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,14.240168,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,14.070715,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,13.948595,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,14.114874,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,14.092509,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,14.013596,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
