M,K,time,A,B
2048,2048,2806.131356,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,2816.602998,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,2818.381931,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,2807.628075,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,2814.104780,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,2809.648794,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,2799.917358,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,2821.798474,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,2812.101207,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
2048,2048,2816.042675,./dataset/2048_2048_80.tns,./dataset/2048_2048_80.tns
1024,1024,402.046845,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,401.502160,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,403.372007,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,402.604010,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,403.462899,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,402.266843,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,402.498599,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,404.059945,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,402.414740,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
1024,1024,401.813396,./dataset/1024_1024_90.tns,./dataset/1024_1024_90.tns
4096,4096,3696.093475,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,3701.268202,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,3686.510223,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,3691.595444,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,3684.644877,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,3700.171063,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,3714.435782,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,3682.640847,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,3680.929512,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
4096,4096,3696.413820,./dataset/4096_4096_20.tns,./dataset/4096_4096_20.tns
1024,1024,96.010738,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,96.067328,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,100.932514,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,101.340959,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,96.113452,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,96.115033,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,96.462328,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,95.988263,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,95.954371,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,100.696352,./dataset/1024_1024_20.tns,./dataset/1024_1024_20.tns
1024,1024,210.268220,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,210.381069,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,226.064451,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,220.395863,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,223.540584,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,209.949442,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,226.063881,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,217.952261,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,210.016477,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,210.134750,./dataset/1024_1024_50.tns,./dataset/1024_1024_50.tns
1024,1024,136.846300,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,126.979699,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,127.118985,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,127.153528,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,126.883960,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,127.560874,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,134.559537,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,131.505058,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,133.474773,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
1024,1024,127.037612,./dataset/1024_1024_30.tns,./dataset/1024_1024_30.tns
512,512,19.165510,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,20.037934,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,20.338253,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,21.552440,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,20.737294,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,20.648387,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,20.332425,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,20.067139,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,20.220763,./dataset/512_512_20.tns,./dataset/512_512_20.tns
512,512,19.303441,./dataset/512_512_20.tns,./dataset/512_512_20.tns
2048,2048,1506.122504,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,1504.494977,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,1507.914038,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,1500.861674,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,1508.934857,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,1511.833360,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,1505.377163,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,1504.661066,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,1506.505994,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
2048,2048,1516.667263,./dataset/2048_2048_50.tns,./dataset/2048_2048_50.tns
4096,4096,14408.598013,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,14317.692585,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,14292.284105,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,14325.505530,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,14379.118211,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,14332.951853,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
4096,4096,14385.260993,./dataset/4096_4096_50.tns,./dataset/4096_4096_50.tns
