M,K,bytes,file
2048,2048,100663296,./dataset/2048_2048_80.tns
1024,1024,25165824,./dataset/1024_1024_90.tns
4096,4096,402653184,./dataset/4096_4096_20.tns
1024,1024,25165824,./dataset/1024_1024_20.tns
1024,1024,25165824,./dataset/1024_1024_50.tns
1024,1024,25165824,./dataset/1024_1024_30.tns
512,512,6291456,./dataset/512_512_20.tns
2048,2048,100663296,./dataset/2048_2048_50.tns
4096,4096,402653184,./dataset/4096_4096_50.tns
512,512,6291456,./dataset/512_512_60.tns
1024,1024,25165824,./dataset/1024_1024_60.tns
4096,4096,402653184,./dataset/4096_4096_80.tns
512,512,6291456,./dataset/512_512_80.tns
512,512,6291456,./dataset/512_512_10.tns
4096,4096,402653184,./dataset/4096_4096_60.tns
2048,2048,100663296,./dataset/2048_2048_70.tns
4096,4096,402653184,./dataset/4096_4096_40.tns
512,512,6291456,./dataset/512_512_70.tns
4096,4096,402653184,./dataset/4096_4096_30.tns
1024,1024,25165824,./dataset/1024_1024_80.tns
4096,4096,402653184,./dataset/4096_4096_10.tns
4096,4096,402653184,./dataset/4096_4096_90.tns
512,512,6291456,./dataset/512_512_50.tns
1024,1024,25165824,./dataset/1024_1024_10.tns
4096,4096,402653184,./dataset/4096_4096_70.tns
1024,1024,25165824,./dataset/1024_1024_70.tns
1024,1024,25165824,./dataset/1024_1024_40.tns
512,512,6291456,./dataset/512_512_90.tns
2048,2048,100663296,./dataset/2048_2048_60.tns
2048,2048,100663296,./dataset/2048_2048_10.tns
2048,2048,100663296,./dataset/2048_2048_20.tns
2048,2048,100663296,./dataset/2048_2048_90.tns
2048,2048,100663296,./dataset/2048_2048_40.tns
512,512,6291456,./dataset/512_512_40.tns
2048,2048,100663296,./dataset/2048_2048_30.tns
512,512,6291456,./dataset/512_512_30.tns
